kind	status	owner	path	size_bytes	existed	deleted
finetuned	success_train_only	cs3_llama3_boolq_lora_s25_sparse_to_dense_2191960_20260225_014029	results/masked_runs_cs/cs3_llama3_boolq_lora_s25_sparse_to_dense_2191960_20260225_014029/model_dir/checkpoint_200.mdl	19204781990	True	True
base	success_train_only	llama3_s25	checkpoints/cs_sparse/llama3_s25/model_to_cs-2.5.mdl	14858425978	True	True
finetuned	success_eval	cs3_llama3_boolq_lora_s25_sparse_to_dense_2191960_20260225_203921	results/masked_runs_cs/cs3_llama3_boolq_lora_s25_sparse_to_dense_2191960_20260225_203921/model_dir/checkpoint_200.mdl	19204710838	True	True
finetuned	success_eval	cs3_llama3_boolq_lora_s25_sparse_to_sparse_2191960_20260225_212742	results/masked_runs_cs/cs3_llama3_boolq_lora_s25_sparse_to_sparse_2191960_20260225_212742/model_dir/checkpoint_200.mdl	19204736454	True	True
finetuned	success_eval	cs3_llama3_boolq_lora_s50_sparse_to_dense_2191960_20260225_034742	results/masked_runs_cs/cs3_llama3_boolq_lora_s50_sparse_to_dense_2191960_20260225_034742/model_dir/checkpoint_200.mdl	16455580011	True	True
base	success_eval	llama3_s50	checkpoints/cs_sparse/llama3_s50/model_to_cs-2.5.mdl	12481620370	True	True
finetuned	success_eval	cs3_llama3_boolq_lora_s50_sparse_to_sparse_2191960_20260225_221133	results/masked_runs_cs/cs3_llama3_boolq_lora_s50_sparse_to_sparse_2191960_20260225_221133/model_dir/checkpoint_200.mdl	16455594987	True	True
finetuned	success_eval	cs3_llama3_boolq_lora_s75_sparse_to_dense_2191960_20260225_050515	results/masked_runs_cs/cs3_llama3_boolq_lora_s75_sparse_to_dense_2191960_20260225_050515/model_dir/checkpoint_200.mdl	13764239739	True	True
base	success_eval	llama3_s75	checkpoints/cs_sparse/llama3_s75/model_to_cs-2.5.mdl	10379560298	True	True
finetuned	success_eval	cs3_llama3_boolq_lora_s75_sparse_to_sparse_2191960_20260225_225602	results/masked_runs_cs/cs3_llama3_boolq_lora_s75_sparse_to_sparse_2191960_20260225_225602/model_dir/checkpoint_200.mdl	13764307515	True	True
finetuned	success_eval	cs3_llama3_gsm8k_lora_s25_sparse_to_dense_2191960_20260225_055147	results/masked_runs_cs/cs3_llama3_gsm8k_lora_s25_sparse_to_dense_2191960_20260225_055147/model_dir/checkpoint_200.mdl	19204737050	True	True
finetuned	success_eval	cs3_llama3_gsm8k_lora_s25_sparse_to_sparse_2191960_20260225_233933	results/masked_runs_cs/cs3_llama3_gsm8k_lora_s25_sparse_to_sparse_2191960_20260225_233933/model_dir/checkpoint_200.mdl	19204726826	True	True
finetuned	success_eval	cs3_llama3_gsm8k_lora_s50_sparse_to_dense_2191960_20260225_064430	results/masked_runs_cs/cs3_llama3_gsm8k_lora_s50_sparse_to_dense_2191960_20260225_064430/model_dir/checkpoint_200.mdl	16455604908	True	True
