Model Name,Task Name,Sparsity Percentage,Training Mode,Run Status,Evaluation Accuracy,Evaluation Language Model Perplexity,Observed Batch Size,Observed Training Throughput at Batch Size 256 (Samples Per Second),Observed Evaluation Throughput at Batch Size 256 (Samples Per Second),Run Identifier,Run Directory,Estimated Fields,Estimate Method
llama3,boolq,25,sparse to dense,success eval,0.4114583432674408,26.22119140625,256,41.38,92.98,cs3_llama3_boolq_lora_s25_sparse_to_dense_2191960_20260225_203921,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_boolq_lora_s25_sparse_to_dense_2191960_20260225_203921,,
llama3,boolq,25,sparse to sparse,success eval,0.4114583432674408,26.22119140625,256,48.73,93.14,cs3_llama3_boolq_lora_s25_sparse_to_sparse_2191960_20260225_212742,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_boolq_lora_s25_sparse_to_sparse_2191960_20260225_212742,,
llama3,boolq,50,sparse to dense,success eval,0.4296875,27.590612411499023,256,45.14,97.91,cs3_llama3_boolq_lora_s50_sparse_to_dense_2191960_20260225_034742,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_boolq_lora_s50_sparse_to_dense_2191960_20260225_034742,,
llama3,boolq,50,sparse to sparse,success eval,0.4296875,27.590612411499023,256,52.85,97.91,cs3_llama3_boolq_lora_s50_sparse_to_sparse_2191960_20260225_221133,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_boolq_lora_s50_sparse_to_sparse_2191960_20260225_221133,,
llama3,boolq,75,sparse to dense,success eval,0.2747395932674408,36.75267791748047,256,48.99,103.23,cs3_llama3_boolq_lora_s75_sparse_to_dense_2191960_20260225_050515,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_boolq_lora_s75_sparse_to_dense_2191960_20260225_050515,,
llama3,boolq,75,sparse to sparse,success eval,0.2747395932674408,36.75267791748047,256,56.26,103.12,cs3_llama3_boolq_lora_s75_sparse_to_sparse_2191960_20260225_225602,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_boolq_lora_s75_sparse_to_sparse_2191960_20260225_225602,,
llama3,gsm8k,25,sparse to dense,success eval,0.0700000002980232,9726.09375,256,41.39,49.65,cs3_llama3_gsm8k_lora_s25_sparse_to_dense_2191960_20260225_055147,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_gsm8k_lora_s25_sparse_to_dense_2191960_20260225_055147,,
llama3,gsm8k,25,sparse to sparse,success eval,0.0700000002980232,9726.09375,256,47.03,50.43,cs3_llama3_gsm8k_lora_s25_sparse_to_sparse_2191960_20260225_233933,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_gsm8k_lora_s25_sparse_to_sparse_2191960_20260225_233933,,
llama3,gsm8k,50,sparse to dense,success eval,0.050000000745058,478664.125,256,44.01,51.27,cs3_llama3_gsm8k_lora_s50_sparse_to_dense_2191960_20260225_064430,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_gsm8k_lora_s50_sparse_to_dense_2191960_20260225_064430,,
llama3,gsm8k,50,sparse to sparse,success eval,0.050000000745058,478664.125,256,49.61,49.61,cs3_llama3_gsm8k_lora_s50_sparse_to_sparse_2191960_20260226_002341,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_gsm8k_lora_s50_sparse_to_sparse_2191960_20260226_002341,,
