Model Name,Task Name,Sparsity Percentage,Training Mode,Run Status,Evaluation Accuracy,Evaluation Language Model Perplexity,Observed Batch Size,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate)","Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate)","Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)","Estimated Training Throughput at Batch Size 256 (Samples Per Second, Linear Estimate)","Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate)","Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate)","Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)","Estimated Evaluation Throughput at Batch Size 256 (Samples Per Second, Linear Estimate)",Run Identifier,Run Directory,Estimated Fields,Estimate Method
llama3,boolq,25,sparse to dense,success eval,0.4114583432674408,26.22119140625,256,40.76,40.7,40.65,41.38,91.04,90.86,90.69,92.98,cs3_llama3_boolq_lora_s25_sparse_to_dense_2191960_20260225_203921,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_boolq_lora_s25_sparse_to_dense_2191960_20260225_203921,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,boolq,25,sparse to sparse,success eval,0.4114583432674408,26.22119140625,256,47.01,45.18,48.24,48.73,80.69,87.05,93.94,93.14,cs3_llama3_boolq_lora_s25_sparse_to_sparse_2191960_20260225_212742,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_boolq_lora_s25_sparse_to_sparse_2191960_20260225_212742,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,boolq,50,sparse to dense,success eval,0.4296875,27.590612411499023,256,43.27,42.99,44.55,45.14,95.87,95.68,95.5,97.91,cs3_llama3_boolq_lora_s50_sparse_to_dense_2191960_20260225_034742,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_boolq_lora_s50_sparse_to_dense_2191960_20260225_034742,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,boolq,50,sparse to sparse,success eval,0.4296875,27.590612411499023,256,49.59,47.63,52.5,52.85,84.82,91.51,98.75,97.91,cs3_llama3_boolq_lora_s50_sparse_to_sparse_2191960_20260225_221133,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_boolq_lora_s50_sparse_to_sparse_2191960_20260225_221133,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,boolq,75,sparse to dense,success eval,0.2747395932674408,36.75267791748047,256,45.95,45.0,48.47,48.99,101.07,100.88,100.69,103.23,cs3_llama3_boolq_lora_s75_sparse_to_dense_2191960_20260225_050515,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_boolq_lora_s75_sparse_to_dense_2191960_20260225_050515,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,boolq,75,sparse to sparse,success eval,0.2747395932674408,36.75267791748047,256,52.29,49.61,56.19,56.26,89.34,96.38,104.0,103.12,cs3_llama3_boolq_lora_s75_sparse_to_sparse_2191960_20260225_225602,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_boolq_lora_s75_sparse_to_sparse_2191960_20260225_225602,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,gsm8k,25,sparse to dense,success eval,0.0700000002980232,9726.09375,256,40.77,40.71,40.65,41.39,48.61,48.52,48.43,49.65,cs3_llama3_gsm8k_lora_s25_sparse_to_dense_2191960_20260225_055147,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_gsm8k_lora_s25_sparse_to_dense_2191960_20260225_055147,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,gsm8k,25,sparse to sparse,success eval,0.0700000002980232,9726.09375,256,45.8,49.42,47.03,47.03,43.69,47.14,50.86,50.43,cs3_llama3_gsm8k_lora_s25_sparse_to_sparse_2191960_20260225_233933,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_gsm8k_lora_s25_sparse_to_sparse_2191960_20260225_233933,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,gsm8k,50,sparse to dense,success eval,0.050000000745058,478664.125,256,43.1,43.5,44.21,44.01,50.2,50.1,50.01,51.27,cs3_llama3_gsm8k_lora_s50_sparse_to_dense_2191960_20260225_064430,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_gsm8k_lora_s50_sparse_to_dense_2191960_20260225_064430,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,gsm8k,50,sparse to sparse,success eval,0.050000000745058,478664.125,256,48.53,51.77,50.33,49.61,42.98,46.37,50.03,49.61,cs3_llama3_gsm8k_lora_s50_sparse_to_sparse_2191960_20260226_002341,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_gsm8k_lora_s50_sparse_to_sparse_2191960_20260226_002341,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
