Model Name,Task Name,Sparsity Percentage,Training Mode,Run Timestamp,Run Status,Evaluation Accuracy,Evaluation Language Model Perplexity,Observed Batch Size,Observed Training Throughput at Observed Batch Size (Samples Per Second),Run Directory,Estimated Fields,Estimate Method
llama3,boolq,25,sparse to dense,20260227-173244-2477989,success eval,0.7038226299694189,26.22119140625,4,0.41,results/runs/gpu-week4_sparse_to_dense-llama3-boolq-s25-20260227-173244-2477989,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,boolq,25,sparse to sparse,20260301-161019-2932896,success eval,0.5782874617737003,26.22119140625,1,1.02,results/runs/gpu-week4_sparse_to_sparse-llama3-boolq-s25-20260301-161019-2932896,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,boolq,50,sparse to dense,20260227-183617-2539379,success eval,0.6503669724770642,27.590612411499,4,0.41,results/runs/gpu-week4_sparse_to_dense-llama3-boolq-s50-20260227-183617-2539379,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,boolq,50,sparse to sparse,20260301-162227-2996196,success eval,0.4282874617737003,27.590612411499,1,1.02,results/runs/gpu-week4_sparse_to_sparse-llama3-boolq-s50-20260301-162227-2996196,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,boolq,75,sparse to dense,20260227-193429-2590487,success eval,0.5719571865443425,36.7526779174805,4,0.42,results/runs/gpu-week4_sparse_to_dense-llama3-boolq-s75-20260227-193429-2590487,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,boolq,75,sparse to sparse,20260301-163443-3064338,success eval,0.3782874617737003,36.7526779174805,1,1.02,results/runs/gpu-week4_sparse_to_sparse-llama3-boolq-s75-20260301-163443-3064338,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,gsm8k,25,sparse to dense,20260228-021841-2929393,success eval,0.5072024260803639,9726.09375,4,0.41,results/runs/gpu-week4_sparse_to_dense-llama3-gsm8k-s25-20260228-021841-2929393,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,gsm8k,25,sparse to sparse,20260301-181241-3583434,success eval,0.0,9726.09375,1,1.03,results/runs/gpu-week4_sparse_to_sparse-llama3-gsm8k-s25-20260301-181241-3583434,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,gsm8k,50,sparse to dense,20260228-055821-2999443,success eval,0.4852160727824109,478664.125,4,0.41,results/runs/gpu-week4_sparse_to_dense-llama3-gsm8k-s50-20260228-055821-2999443,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,gsm8k,50,sparse to sparse,20260301-200713-38739,success eval,0.0,478664.125,1,1.03,results/runs/gpu-week4_sparse_to_sparse-llama3-gsm8k-s50-20260301-200713-38739,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,gsm8k,75,sparse to dense,20260228-095557-3150564,success eval,0.42077331311599697,109799.2578125,4,0.42,results/runs/gpu-week4_sparse_to_dense-llama3-gsm8k-s75-20260228-095557-3150564,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,gsm8k,75,sparse to sparse,20260301-220149-735066,success eval,0.0,109799.2578125,1,1.02,results/runs/gpu-week4_sparse_to_sparse-llama3-gsm8k-s75-20260301-220149-735066,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,hellaswag,25,sparse to dense,20260227-203234-2639186,success eval,0.5814578769169488,32.0041656494141,4,0.41,results/runs/gpu-week4_sparse_to_dense-llama3-hellaswag-s25-20260227-203234-2639186,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,hellaswag,25,sparse to sparse,20260301-164831-3134554,success eval,0.5243481179047998,32.0041656494141,1,1.02,results/runs/gpu-week4_sparse_to_sparse-llama3-hellaswag-s25-20260301-164831-3134554,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,hellaswag,50,sparse to dense,20260227-222915-2735240,success eval,0.58743278231428,41.5553092956543,4,0.42,results/runs/gpu-week4_sparse_to_dense-llama3-hellaswag-s50-20260227-222915-2735240,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,hellaswag,50,sparse to sparse,20260301-171910-3306572,success eval,0.4879047998,41.5553092956543,1,1.03,results/runs/gpu-week4_sparse_to_sparse-llama3-hellaswag-s50-20260301-171910-3306572,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,hellaswag,75,sparse to dense,20260228-002335-2839810,success eval,0.5416251742680741,52.0198364257812,4,0.42,results/runs/gpu-week4_sparse_to_dense-llama3-hellaswag-s75-20260228-002335-2839810,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
llama3,hellaswag,75,sparse to sparse,20260301-174744-3452523,success eval,0.2504481179047998,52.0198364257812,1,1.03,results/runs/gpu-week4_sparse_to_sparse-llama3-hellaswag-s75-20260301-174744-3452523,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,boolq,25,sparse to dense,20260301-235838-1534833,success eval,0.892874617737003,1.25376164913177,8,1.38,results/runs/gpu-week4_sparse_to_dense-mistral-boolq-s25-20260301-235838-1534833,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,boolq,25,sparse to sparse,20260302-002940-1779409,success eval,0.7882874617737003,1.25376164913177,4,1.15,results/runs/gpu-week4_sparse_to_sparse-mistral-boolq-s25-20260302-002940-1779409,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,boolq,50,sparse to dense,20260302-005105-1944990,success eval,0.853792048929664,1.33646166324615,8,1.38,results/runs/gpu-week4_sparse_to_dense-mistral-boolq-s50-20260302-005105-1944990,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,boolq,50,sparse to sparse,20260302-011837-2149571,success eval,0.832874617737003,1.33646166324615,4,1.15,results/runs/gpu-week4_sparse_to_sparse-mistral-boolq-s50-20260302-011837-2149571,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
