run_id,method,model,task,sparsity_fraction,timestamp,point_index,micro_batch,seq_len,world_size,tokens_per_step,mean_step_time_s,tokens_per_s,peak_mem_gb,run_dir
gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s25-20260227-173244-2477989,sparse_to_dense,llama3.1-8b,boolq,25,20260227-173244-2477989,0,4,2048,1,8192,9.682209260575473,846.0878896055898,34.177730560302734,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s25-20260227-173244-2477989
gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s25-20260227-173244-2477989,sparse_to_dense,llama3.1-8b,boolq,25,20260227-173244-2477989,1,2,2048,1,4096,4.9547847338020805,826.675672114803,25.591686248779297,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s25-20260227-173244-2477989
gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s25-20260227-173244-2477989,sparse_to_dense,llama3.1-8b,boolq,25,20260227-173244-2477989,2,1,2048,1,2048,2.472673055715859,828.2534544006213,21.454914093017578,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s25-20260227-173244-2477989
gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s50-20260227-183617-2539379,sparse_to_dense,llama3.1-8b,boolq,50,20260227-183617-2539379,0,4,2048,1,8192,9.64409180060029,849.4319806754737,34.177730560302734,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s50-20260227-183617-2539379
gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s50-20260227-183617-2539379,sparse_to_dense,llama3.1-8b,boolq,50,20260227-183617-2539379,1,2,2048,1,4096,4.934239790402353,830.1177433588001,25.591686248779297,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s50-20260227-183617-2539379
gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s50-20260227-183617-2539379,sparse_to_dense,llama3.1-8b,boolq,50,20260227-183617-2539379,2,1,2048,1,2048,2.467254348471761,830.0725060099901,21.454914093017578,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s50-20260227-183617-2539379
gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s75-20260227-193429-2590487,sparse_to_dense,llama3.1-8b,boolq,75,20260227-193429-2590487,0,4,2048,1,8192,9.56889182217419,856.1074941840715,34.177730560302734,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s75-20260227-193429-2590487
gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s75-20260227-193429-2590487,sparse_to_dense,llama3.1-8b,boolq,75,20260227-193429-2590487,1,2,2048,1,4096,4.903134717047214,835.3839403512677,25.591686248779297,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s75-20260227-193429-2590487
gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s75-20260227-193429-2590487,sparse_to_dense,llama3.1-8b,boolq,75,20260227-193429-2590487,2,1,2048,1,2048,2.4624164162203668,831.7033571208616,21.454914093017578,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-boolq-s75-20260227-193429-2590487
gpu-week4_sparse_to_dense-llama3.1-8b-gsm8k-s25-20260228-021841-2929393,sparse_to_dense,llama3.1-8b,gsm8k,25,20260228-021841-2929393,0,4,2048,1,8192,9.672089458815753,846.9731421407909,34.177730560302734,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-gsm8k-s25-20260228-021841-2929393
gpu-week4_sparse_to_dense-llama3.1-8b-gsm8k-s25-20260228-021841-2929393,sparse_to_dense,llama3.1-8b,gsm8k,25,20260228-021841-2929393,1,2,2048,1,4096,4.957975473441183,826.1436592297397,25.591686248779297,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-gsm8k-s25-20260228-021841-2929393
gpu-week4_sparse_to_dense-llama3.1-8b-gsm8k-s25-20260228-021841-2929393,sparse_to_dense,llama3.1-8b,gsm8k,25,20260228-021841-2929393,2,1,2048,1,2048,2.4690101146698,829.4822235970853,21.454914093017578,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-gsm8k-s25-20260228-021841-2929393
